,dog,book,sofa,chair,person,diningtable,hot dog,cup,bottle,cake,backpack,keyboard,car,bicycle,truck,giraffe,train,apple,umbrella,oven,knife,handbag,bird,boat,broccoli,vase,bed,tie,cat
dog,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
book,0,0.0,0.0,0.0,-0.03291988945823531,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
sofa,0,0.0,0.0,-0.016590365455815322,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
chair,0,0.0,-0.016590365455815322,0.0,-0.06978626733266985,0.0,0.0,-0.016590365455815322,-0.016590365455815322,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
person,0,-0.03291988945823531,0.0,-0.06978626733266985,0.0,-0.03291988945823531,0.0,-0.03291988945823531,-0.03291988945823531,-0.03291988945823531,0,0,-0.053525402924003054,-0.032651486339038534,-0.032651486339038534,0,-0.03318073091163065,0,-0.032651486339038534,-0.032651486339038534,-0.032651486339038534,-0.053003720017212375,-0.03291988945823531,-0.032651486339038534,0,0,0,-0.032651486339038534,0.0
diningtable,0,0.0,0.0,0.0,-0.03291988945823531,0.0,-0.010172336006186201,0.0,0.0,-0.012836058899258245,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
hot dog,0,0.0,0.0,0.0,0.0,-0.010172336006186201,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
cup,0,0.0,0.0,-0.016590365455815322,-0.03291988945823531,0.0,0.0,0.0,-0.012836058899258245,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,-0.012836058899258245
bottle,0,0.0,0.0,-0.016590365455815322,-0.03291988945823531,0.0,0.0,-0.012836058899258245,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
cake,0,0.0,0.0,0.0,-0.03291988945823531,-0.012836058899258245,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
backpack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
keyboard,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
car,0,0.0,0.0,0.0,-0.053525402924003054,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-0.012836058899258245,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
bicycle,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,-0.012836058899258245,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
truck,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
giraffe,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
train,0,0.0,0.0,0.0,-0.03318073091163065,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
apple,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
umbrella,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
oven,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,-0.006418029449629123,0.0,0.0,0.0,0,0,0,0.0,0.0
knife,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,-0.006418029449629123,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
handbag,0,0.0,0.0,0.0,-0.053003720017212375,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
bird,0,0.0,0.0,0.0,-0.03291988945823531,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
boat,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
broccoli,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
vase,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
bed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
tie,0,0.0,0.0,0.0,-0.032651486339038534,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
cat,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012836058899258245,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
